"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,5e+05,350000,2e+06
2015-04-26,440000,337000,2e+06
2015-04-27,440000,340000,1e+07
2015-04-28,5e+05,325000,1749850
2015-04-29,430000,288000,1100000
2015-04-30,4e+05,249000,1e+06
2015-05-01,430000,245000,1e+06
2015-05-02,410000,240000,1100000
2015-05-03,430000,250000,1100000
2015-05-04,440000,260000,1e+07
2015-05-05,430000,250999,1100000
2015-05-06,3e+05,210000,1e+06
2015-05-07,3e+05,2e+05,1e+06
2015-05-10,3e+05,2e+05,1e+06
2015-05-11,299000,2e+05,1e+06
2015-05-12,3e+05,206500,1e+06
2015-05-13,299999,210000,1e+06
2015-05-15,3e+05,240000,1e+06
2015-05-16,3e+05,220220,1e+06
2015-05-17,3e+05,221111,1e+06
2015-05-18,3e+05,220000,1e+06
2015-05-19,299999,206000,1e+06
2015-05-20,299999,220220,1e+06
2015-05-21,3e+05,222222,1e+06
2015-05-24,399888,267000,1e+07
